publications2	entries	PMID
Kato et al 2004 Hum Mut 23: 147-159	15171;35603;55955	14722918
Khan et al 2011 Invest. Ophthal. Vis. Sci. 52: 4294-4299	2922	21474777
Khan et al 2015 Ophthalmic Genet. 36: 58-63 25469533	2902	25469533
Kishino et al 1995 Nature Genet 15: 70-73	15216;36083;56061	8988171
Kloss et al 2012 Mol Vis 18:1740-9	2980	22815627
Kmoch et al 2000 Hum Mol Genet 910: 1501-1513	15137;35314;55870	10888601
Kurian et al 2010 Brain 133: 2964_2970	15541;39354;56958	20833646
LEBER OPTIC ATROPHY	6362;32338;55435	None
Lachke et al 2011 Science 3316024:1571-1576	2933	21436445
Lachke et al 2012 Hum Genet 131:235-250	3001	21769484
Lalani 2014	15568;39621;57025	25439098
"Lango Allen et al 2011 Nat Genet 44, 20-22 De Franco et al 2013 Diabetes 62, 993-997"	14523	 22158542;23223019
Le Meur et al 2008 J Med Genet 47: 22-29	15451;38399;56642	19592390
Lechner et al 2013 Invest Ophthalmol Vis Sci 54:5266-5372	2892;10608	23833072
"Lemay 2015 J Med Genet 52,493"	16802	25805808
Lesca et al 2013 Nature Genet 459 1061-1068	15364;37525;56430	23933820
Li et al 2004 Mol Vis 20:1017	2825;2975	25053872
Lin et al. 2008	440;893;4919;22102	19061983
Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency MIM#255100	70699	4179573;6788163;27259049;25058219
MIM#272800	8629;27428;59278	None
MIM#601675	27426	None
MIM#607595	5413;27422;59090	None
MIM#612319	27427	None
MITOCHONDRIAL COMPLEX IV DEFICIENCY	6362;32338;55435	None
Macedo-Souza LI 2008	22134	18463901
Mannan AU 2006	443;955;4923;22123	16826525
"Many for Axenfield-Rieger syndrome, Peters anomaly"	2979	None
Many on HGMD	2965	None
Mayr et al 2012 Am. J. Hum. Genet. 90: 314-320	2826	22284826
McAlinden et al 2008 Hum Mutat 29:83-90	2840	17721977
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	106107;106137	None
Meijer IA et al. 2004	22131	15455396
Meilleur et al 2014 J Neuropathol Exp Neurol 73:425-441	2990	24709677
"Middleton B , Day R 1987 and Kassovska-Bratinova  S, Fukao, T 1996"	30493	8751852
Molinari et al 2005 Am J Hum Genet 76: 334_339	15625;40133;57155	15592994
Montenegro et al. 2012	872	22232211
Mordechai et al 2011 Hum. Genet. 89: 438-445 21885030	2902	21885030
Moreno-De-Luca et al. 2011	703;22032	20972249
Mosaic case series shortly to be published by Kinsler group	33600;91828;106305	36566878
Mouse mutation: Li et al 2008 Invest. Ophthal. Vis. Sci. 49: 304-309	2969	18172107
"NPHP3 mutations have been linked to Senior-Loken syndrome, which involves cystic kidney disease (nephronophthisis) and retinitis pigmentosa or Leber congenital amaurosis."	52223	11752023
Najmabadi et al 2011 Nature 478:57	2931	21937992
Nakamura 2013	15352;37436;56407	23993195
Nascimento et al 2006 Am J Hum Genet 79: 549-555	15699;41007;57354	16909393
Nat Genet. 2012 May 6	19868	22561515
Nat Genet. 2016 Dec	16224	27798626
"Nat Genet. 42: 27-29, 2010"	30410	19966803
"National Metabolic Biochemistry Network Best Practice Guidelines Investigation of An Inherited Metabolic Cause of Cardiomyopathy, Authors: Ann Bowron, Simon Olpin 13 Jul 2012 http://www.metbio.net/metbioGuidelines.asp"	44381;44501;55848;57414;63999;64004	None
Nava et al 2014 Nature Genet 466. 640-648	15375;37603;56460	24747641
Naviaux & Nguyen 2004 Ann Neurol 55: 706-712	15550;39425;56980	15122711
Neuhann 2015 Am J Hum genet 167A:2376-2381	2956	25975359
Non published	16720	None
None	9389;26797;30248;44263	None
Novarino et al. 2014	392;430;431;436;438;441;698;709;710;815;846;936;946;4885;4908;4909;4915;4917;4920;22103;22105;22106;22112;22114;22118;22121	24482476
