MeSH	disease
Lipoid Proteinosis of Urbach and Wiethe	FET
Monilethrix	FET
Netherton Syndrome	FET
"Pemphigus, Benign Familial"	FET
Porokeratosis	FET
"Porphyria, Erythropoietic"	FET
"Porphyrias, Hepatic"	FET
"Coproporphyria, Hereditary"	FET
"Porphyria, Acute Intermittent"	FET
Porphyria Cutanea Tarda	FET
"Porphyria, Hepatoerythropoietic"	FET
"Porphyria, Variegate"	FET
"Protoporphyria, Erythropoietic"	FET
Prolidase Deficiency	FET
Pseudoxanthoma Elasticum	FET
Rothmund-Thomson Syndrome	FET
Sjogren-Larsson Syndrome	FET
Trichothiodystrophy Syndromes	FET
Xeroderma Pigmentosum	FET
Werner Syndrome	FET
Yellow Nail Syndrome	FET
"Hearing Loss, Sensorineural"	FET
"Hearing Loss, Central"	FET
"Hearing Loss, Noise-Induced"	FET
Presbycusis	FET
Usher Syndromes	FET
Hepatic Veno-Occlusive Disease	FET
Hydrocephalus	FET
Dandy-Walker Syndrome	FET
"Hydrocephalus, Normal Pressure"	FET
Iron-Sulfur Proteins	FET
Adrenodoxin	FET
Electron Transport Complex I	FET
NADH Dehydrogenase	FET
Electron Transport Complex II	FET
Succinate Dehydrogenase	FET
Electron Transport Complex III	FET
Ferredoxin-Nitrite Reductase	FET
Ferredoxins	FET
Molybdoferredoxin	FET
Rubredoxins	FET
Ferrochelatase	FET
Frataxin	FET
Iron Regulatory Protein 1	FET
Iron Regulatory Protein 2	FET
Nitrate Reductase (NAD(P)H)	FET
Nitrate Reductase (NADPH)	FET
Methemoglobinemia	FET
Microcephaly	FET
Porencephaly	FET
Mitochondria	FET
"Mitochondria, Liver"	FET
"Mitochondria, Muscle"	FET
"Mitochondria, Heart"	FET
Mitochondrial Ribosomes	FET
Submitochondrial Particles	FET
Mitochondrial Diseases	FET
Carbamoyl-Phosphate Synthase I Deficiency Disease	FET
Cytochrome-c Oxidase Deficiency	FET
Friedreich Ataxia	FET
Leigh Disease	FET
Mitochondrial Myopathies	FET
Mitochondrial Encephalomyopathies	FET
MELAS Syndrome	FET
MERRF Syndrome	FET
"Ophthalmoplegia, Chronic Progressive External"	FET
Kearns-Sayre Syndrome	FET
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	FET
"Optic Atrophy, Autosomal Dominant"	FET
"Optic Atrophy, Hereditary, Leber"	FET
Pyruvate Carboxylase Deficiency Disease	FET
Pyruvate Dehydrogenase Complex Deficiency Disease	FET
Mitochondrial Proteins	FET
"Aldehyde Dehydrogenase, Mitochondrial"	FET
ATPase Inhibitory Protein	FET
"Creatine Kinase, Mitochondrial Form"	FET
DNA Polymerase gamma	FET
Endopeptidase Clp	FET
Ferrochelatase	FET
Frataxin	FET
High-Temperature Requirement A Serine Peptidase 2	FET
Mitochondrial Membrane Transport Proteins	FET
"Mitochondrial ADP, ATP Translocases"	FET
Adenine Nucleotide Translocator 1	FET
Adenine Nucleotide Translocator 2	FET
Adenine Nucleotide Translocator 3	FET
Mitochondrial Permeability Transition Pore	FET
Mitochondrial Precursor Protein Import Complex Proteins	FET
Mitochondrial Proton-Translocating ATPases	FET
Mitochondrial Uncoupling Proteins	FET
Uncoupling Protein 1	FET
Uncoupling Protein 2	FET
Uncoupling Protein 3	FET
"Solute Carrier Family 44, Member 2 Protein"	FET
Steroidogenic Acute Regulatory Protein	FET
Voltage-Dependent Anion Channel 1	FET
Voltage-Dependent Anion Channel 2	FET
Mitochondrial Processing Peptidase	FET
Mitochondrial Trifunctional Protein	FET
"Mitochondrial Trifunctional Protein, alpha Subunit"	FET
"Mitochondrial Trifunctional Protein, beta Subunit"	FET
Nucleoside Diphosphate Kinase D	FET
Peroxiredoxin III	FET
Prohibitins	FET
Sirtuin 3	FET
"Myopathies, Structural, Congenital"	FET
"Myopathies, Nemaline"	FET
"Myopathy, Central Core"	FET
Perinatal Death	FET
Vitamin D Deficiency  	FET
Rickets  	FET
Osteomalacia  	FET
Chronic Kidney Disease-Mineral and Bone Disorder  	FET
"Rickets, Hypophosphatemic  "	FET
Familial Hypophosphatemic Rickets  	FET
"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of"	FET
Bowen-Conradi syndrome	FET
Brown-Vialetto-Van Laere syndrome	FET
Glutaric Acidemia I	FET
PEHO syndrome	FET
Urocanase deficiency	FET
Hypoparathyroidism	HOT
22q11 Deletion Syndrome	HOT
DiGeorge Syndrome	HOT
Hyperparathyroidism	HPT
"Hyperparathyroidism, Primary"	HPT
"Hyperparathyroidism, Secondary"	HPT
Chronic Kidney Disease-Mineral and Bone Disorder	HPT
Abetalipoproteinemia	INT
"Acidosis, Lactic"	INT
Alzheimer Disease	INT
Amino Acyl-tRNA Synthetases	INT
Alanine-tRNA Ligase	INT
Arginine-tRNA Ligase	INT
Aspartate-tRNA Ligase	INT
Glutamate-tRNA Ligase	INT
Glycine-tRNA Ligase	INT
Histidine-tRNA Ligase	INT
Isoleucine-tRNA Ligase	INT
Leucine-tRNA Ligase	INT
Lysine-tRNA Ligase	INT
Methionine-tRNA Ligase	INT
Phenylalanine-tRNA Ligase	INT
Serine-tRNA Ligase	INT
Threonine-tRNA Ligase	INT
Tryptophan-tRNA Ligase	INT
Tyrosine-tRNA Ligase	INT
Valine-tRNA Ligase	INT
Autoimmune Diseases of the Nervous System	INT
"Demyelinating Autoimmune Diseases, CNS"	INT
Diffuse Cerebral Sclerosis of Schilder	INT
"Encephalomyelitis, Acute Disseminated"	INT
"Leukoencephalitis, Acute Hemorrhagic"	INT
Multiple Sclerosis	INT
"Multiple Sclerosis, Chronic Progressive"	INT
"Multiple Sclerosis, Relapsing-Remitting"	INT
"Myelitis, Transverse"	INT
Neuromyelitis Optica	INT
Neuromyelitis Optica	INT
Myasthenia Gravis	INT
Lambert-Eaton Myasthenic Syndrome	INT
"Myasthenia Gravis, Autoimmune, Experimental"	INT
"Myasthenia Gravis, Neonatal"	INT
"Nervous System Autoimmune Disease, Experimental"	INT
"Encephalomyelitis, Autoimmune, Experimental"	INT
"Myasthenia Gravis, Autoimmune, Experimental"	INT
"Neuritis, Autoimmune, Experimental"	INT
Polyradiculoneuropathy	INT
Guillain-Barre Syndrome	INT
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating"	INT
Stiff-Person Syndrome	INT
Uveomeningoencephalitic Syndrome	INT
"Vasculitis, Central Nervous System"	INT
"AIDS Arteritis, Central Nervous System"	INT
Giant Cell Arteritis	INT
"Lupus Vasculitis, Central Nervous System"	INT
Cataract	INT
Capsule Opacification	INT
Cerebellar Diseases	INT
Cerebellar Ataxia	INT
Spinocerebellar Ataxias	INT
Ataxia Telangiectasia	INT
Machado-Joseph Disease	INT
Cerebellar Cognitive Affective Syndrome	INT
Cerebellar Neoplasms	INT
Dandy-Walker Syndrome	INT
Miller Fisher Syndrome	INT
Paraneoplastic Cerebellar Degeneration	INT
Spinocerebellar Degenerations	INT
Friedreich Ataxia	INT
Myoclonic Cerebellar Dyssynergia	INT
Olivopontocerebellar Atrophies	INT
Spinocerebellar Ataxias	INT
Machado-Joseph Disease	INT
Cognitive Dysfunction  	INT
Chemotherapy-Related Cognitive Impairment  	INT
Postoperative Cognitive Complications  	INT
Congenital Disorders of Glycosylation	INT
Epilepsy	INT
Drug Resistant Epilepsy	INT
"Epilepsies, Partial"	INT
"Epilepsy, Complex Partial"	INT
"Epilepsy, Frontal Lobe"	INT
"Epilepsy, Partial, Motor"	INT
"Epilepsy, Partial, Sensory"	INT
"Epilepsy, Rolandic"	INT
"Epilepsy, Temporal Lobe"	INT
"Epilepsy, Benign Neonatal"	INT
"Epilepsy, Generalized"	INT
"Epilepsies, Myoclonic"	INT
"Myoclonic Epilepsies, Progressive"	INT
Lafora Disease	INT
MERRF Syndrome	INT
Unverricht-Lundborg Syndrome	INT
"Myoclonic Epilepsy, Juvenile"	INT
"Epilepsy, Absence"	INT
"Epilepsy, Tonic-Clonic"	INT
Nodding Syndrome	INT
"Spasms, Infantile"	INT
"Epilepsy, Post-Traumatic"	INT
"Epilepsy, Reflex"	INT
Epileptic Syndromes	INT
"Epilepsies, Myoclonic"	INT
"Myoclonic Epilepsies, Progressive"	INT
Lafora Disease	INT
MERRF Syndrome	INT
Unverricht-Lundborg Syndrome	INT
"Myoclonic Epilepsy, Juvenile"	INT
"Epilepsy, Absence"	INT
"Epilepsy, Frontal Lobe"	INT
"Epilepsy, Rolandic"	INT
"Epilepsy, Temporal Lobe"	INT
Landau-Kleffner Syndrome	INT
Lennox Gastaut Syndrome	INT
"Spasms, Infantile"	INT
Sudden Unexpected Death in Epilepsy	INT
"Hearing Loss, Sensorineural"	INT
"Hearing Loss, Central"	INT
"Hearing Loss, Noise-Induced"	INT
Presbycusis	INT
Usher Syndromes	INT
Hermanski-Pudlak Syndrome	INT
"Hyperglycinemia, Nonketotic"	INT
Iron-Sulfur Proteins	INT
Adrenodoxin	INT
Electron Transport Complex I	INT
NADH Dehydrogenase	INT
Electron Transport Complex II	INT
Succinate Dehydrogenase	INT
Electron Transport Complex III	INT
Ferredoxin-Nitrite Reductase	INT
Ferredoxins	INT
Molybdoferredoxin	INT
Rubredoxins	INT
Ferrochelatase	INT
Frataxin	INT
Iron Regulatory Protein 1	INT
Iron Regulatory Protein 2	INT
Nitrate Reductase (NAD(P)H)	INT
Nitrate Reductase (NADPH)	INT
Microcephaly	INT
Porencephaly	INT
Mitochondria	INT
"Mitochondria, Liver"	INT
"Mitochondria, Muscle"	INT
"Mitochondria, Heart"	INT
Mitochondrial Ribosomes	INT
Submitochondrial Particles	INT
Mitochondrial Diseases	INT
Carbamoyl-Phosphate Synthase I Deficiency Disease	INT
Cytochrome-c Oxidase Deficiency	INT
Friedreich Ataxia	INT
Leigh Disease	INT
Mitochondrial Myopathies	INT
Mitochondrial Encephalomyopathies	INT
MELAS Syndrome	INT
MERRF Syndrome	INT
"Ophthalmoplegia, Chronic Progressive External"	INT
Kearns-Sayre Syndrome	INT
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	INT
"Optic Atrophy, Autosomal Dominant"	INT
"Optic Atrophy, Hereditary, Leber"	INT
Pyruvate Carboxylase Deficiency Disease	INT
Pyruvate Dehydrogenase Complex Deficiency Disease	INT
Mitochondrial Proteins	INT
"Aldehyde Dehydrogenase, Mitochondrial"	INT
ATPase Inhibitory Protein	INT
"Creatine Kinase, Mitochondrial Form"	INT
DNA Polymerase gamma	INT
Endopeptidase Clp	INT
Ferrochelatase	INT
Frataxin	INT
High-Temperature Requirement A Serine Peptidase 2	INT
Mitochondrial Membrane Transport Proteins	INT
"Mitochondrial ADP, ATP Translocases"	INT
Adenine Nucleotide Translocator 1	INT
Adenine Nucleotide Translocator 2	INT
Adenine Nucleotide Translocator 3	INT
Mitochondrial Permeability Transition Pore	INT
Mitochondrial Precursor Protein Import Complex Proteins	INT
Mitochondrial Proton-Translocating ATPases	INT
Mitochondrial Uncoupling Proteins	INT
Uncoupling Protein 1	INT
Uncoupling Protein 2	INT
Uncoupling Protein 3	INT
"Solute Carrier Family 44, Member 2 Protein"	INT
Steroidogenic Acute Regulatory Protein	INT
Voltage-Dependent Anion Channel 1	INT
Voltage-Dependent Anion Channel 2	INT
Mitochondrial Processing Peptidase	INT
Mitochondrial Trifunctional Protein	INT
"Mitochondrial Trifunctional Protein, alpha Subunit"	INT
"Mitochondrial Trifunctional Protein, beta Subunit"	INT
Nucleoside Diphosphate Kinase D	INT
Peroxiredoxin III	INT
Prohibitins	INT
Sirtuin 3	INT
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	INT
"Myopathies, Structural, Congenital"	INT
"Myopathies, Nemaline"	INT
"Myopathy, Central Core"	INT
Neurobehavioral Manifestations	INT
Anhedonia	INT
Catatonia	INT
Communication Disorders	INT
Language Disorders	INT
Agraphia	INT
Anomia	INT
Dyslexia	INT
"Dyslexia, Acquired"	INT
"Alexia, Pure"	INT
Language Development Disorders	INT
Specific Language Disorder	INT
Speech Disorders	INT
Aphasia	INT
"Aphasia, Broca"	INT
"Aphasia, Conduction"	INT
"Aphasia, Primary Progressive"	INT
Primary Progressive Nonfluent Aphasia	INT
"Aphasia, Wernicke"	INT
Articulation Disorders	INT
Dysarthria	INT
Echolalia	INT
Mutism	INT
Stuttering	INT
Learning Disabilities	INT
Specific Language Disorder	INT
Specific Learning Disorder	INT
Agraphia	INT
Dyscalculia	INT
Dyslexia	INT
"Dyslexia, Acquired"	INT
Confusion	INT
Delirium	INT
Emergence Delirium	INT
Consciousness Disorders	INT
Unconsciousness	INT
Coma	INT
Brain Death	INT
"Coma, Post-Head Injury"	INT
Insulin Coma	INT
Persistent Vegetative State	INT
Stupor	INT
Syncope	INT
"Syncope, Vasovagal"	INT
Intellectual Disability	INT
Cri-du-Chat Syndrome	INT
De Lange Syndrome	INT
Down Syndrome	INT
X-Linked Intellectual Disability	INT
Adrenoleukodystrophy	INT
Coffin-Lowry Syndrome	INT
Fragile X Syndrome	INT
Glycogen Storage Disease Type IIb	INT
Lesch-Nyhan Syndrome	INT
Menkes Kinky Hair Syndrome	INT
Mucopolysaccharidosis II	INT
Pyruvate Dehydrogenase Complex Deficiency Disease	INT
Rett Syndrome	INT
Prader-Willi Syndrome	INT
Rubinstein-Taybi Syndrome	INT
Trisomy 13 Syndrome	INT
WAGR Syndrome	INT
Williams Syndrome	INT
Lethargy	INT
Mania	INT
Memory Disorders	INT
Amnesia	INT
Korsakoff Syndrome	INT
Alcoholic Korsakoff Syndrome	INT
Perceptual Disorders	INT
Agnosia	INT
Gerstmann Syndrome	INT
Prosopagnosia	INT
Alice in Wonderland Syndrome	INT
Allesthesia	INT
Auditory Perceptual Disorders	INT
Hallucinations	INT
Charles Bonnet Syndrome	INT
Illusions	INT
Phantom Limb	INT
Synesthesia	INT
Psychomotor Disorders	INT
Apraxias	INT
Alien Limb Phenomenon	INT
"Apraxia, Ideomotor"	INT
Gait Apraxia	INT
Psychomotor Agitation	INT
Neurodevelopmental Disorders	INT
"Anxiety, Separation"	INT
Attention Deficit and Disruptive Behavior Disorders	INT
Attention Deficit Disorder with Hyperactivity	INT
Conduct Disorder	INT
Oppositional Defiant Disorder	INT
Sluggish Cognitive Tempo	INT
Child Behavior Disorders	INT
"Child Development Disorders, Pervasive"	INT
Autism Spectrum Disorder	INT
Asperger Syndrome	INT
Autistic Disorder	INT
Communication Disorders	INT
Childhood-Onset Fluency Disorder	INT
Learning Disabilities	INT
Specific Language Disorder	INT
Specific Learning Disorder	INT
Agraphia	INT
Dyscalculia	INT
Dyslexia	INT
"Dyslexia, Acquired"	INT
Social Communication Disorder	INT
Speech Sound Disorder	INT
Developmental Disabilities	INT
Intellectual Disability	INT
Learning Disabilities	INT
Specific Learning Disorder	INT
Motor Skills Disorders	INT
Mutism	INT
Reactive Attachment Disorder	INT
"Schizophrenia, Childhood"	INT
Stereotypic Movement Disorder	INT
Tic Disorders	INT
Tourette Syndrome	INT
"Myopathies, Structural, Congenital"	INT
"Myopathies, Nemaline"	INT
"Myopathy, Central Core"	INT
Osteitis Deformans	INT
Hepatic Veno-Occlusive Disease	INT
Hydrocephalus	INT
Dandy-Walker Syndrome	INT
"Hydrocephalus, Normal Pressure"	INT
Cerebral Small Vessel Diseases	INT
CADASIL	INT
"Cerebral Amyloid Angiopathy, Familial"	INT
Fabry Disease	INT
MELAS Syndrome	INT
Microscopic Polyangiitis	INT
"Stroke, Lacunar"	INT
Hypoparathyroidism	INT
22q11 Deletion Syndrome	INT
DiGeorge Syndrome	INT
Hyperparathyroidism	INT
"Hyperparathyroidism, Primary"	INT
"Hyperparathyroidism, Secondary"	INT
Chronic Kidney Disease-Mineral and Bone Disorder	INT
Neurodevelopmental Disorders	INT
"Anxiety, Separation"	INT
Attention Deficit and Disruptive Behavior Disorders	INT
Attention Deficit Disorder with Hyperactivity	INT
Conduct Disorder	INT
Oppositional Defiant Disorder	INT
Sluggish Cognitive Tempo	INT
Child Behavior Disorders	INT
"Child Development Disorders, Pervasive"	INT
Autism Spectrum Disorder	INT
Asperger Syndrome	INT
Autistic Disorder	INT
Communication Disorders	INT
Childhood-Onset Fluency Disorder	INT
Learning Disabilities	INT
Specific Language Disorder	INT
Specific Learning Disorder	INT
Agraphia	INT
Dyscalculia	INT
Dyslexia	INT
"Dyslexia, Acquired"	INT
Social Communication Disorder	INT
Speech Sound Disorder	INT
Developmental Disabilities	INT
Intellectual Disability	INT
Learning Disabilities	INT
Specific Learning Disorder	INT
Agraphia	INT
Dyscalculia	INT
Dyslexia	INT
"Dyslexia, Acquired"	INT
Motor Skills Disorders	INT
Mutism	INT
Reactive Attachment Disorder	INT
"Schizophrenia, Childhood"	INT
Stereotypic Movement Disorder	INT
Tic Disorders	INT
Tourette Syndrome	INT
Wolf-Hirschhorn Syndrome	INT
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	INT
3-Methylglutaconic Aciduria	INT
Adams Oliver syndrome	INT
Amish lethal microcephaly	INT
Amish lethal microcephaly	INT
Pontocerebellar Hypoplasia	INT
"Acidosis, Lactic"	MIT
Iron-Sulfur Proteins	MIT
Adrenodoxin	MIT
Electron Transport Complex I	MIT
NADH Dehydrogenase	MIT
Electron Transport Complex II	MIT
Succinate Dehydrogenase	MIT
Electron Transport Complex III	MIT
Ferredoxin-Nitrite Reductase	MIT
Ferredoxins	MIT
Molybdoferredoxin	MIT
Rubredoxins	MIT
Ferrochelatase	MIT
Frataxin	MIT
Iron Regulatory Protein 1	MIT
Iron Regulatory Protein 2	MIT
Nitrate Reductase (NAD(P)H)	MIT
Nitrate Reductase (NADPH)	MIT
Mitochondria	MIT
"Mitochondria, Liver"	MIT
"Mitochondria, Muscle"	MIT
"Mitochondria, Heart"	MIT
Mitochondrial Ribosomes	MIT
Submitochondrial Particles	MIT
Mitochondrial Diseases	MIT
Carbamoyl-Phosphate Synthase I Deficiency Disease	MIT
Cytochrome-c Oxidase Deficiency	MIT
Friedreich Ataxia	MIT
Leigh Disease	MIT
Mitochondrial Myopathies	MIT
Mitochondrial Encephalomyopathies	MIT
MELAS Syndrome	MIT
MERRF Syndrome	MIT
"Ophthalmoplegia, Chronic Progressive External"	MIT
Kearns-Sayre Syndrome	MIT
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	MIT
"Optic Atrophy, Autosomal Dominant"	MIT
"Optic Atrophy, Hereditary, Leber"	MIT
Pyruvate Carboxylase Deficiency Disease	MIT
Pyruvate Dehydrogenase Complex Deficiency Disease	MIT
Mitochondrial Proteins	MIT
"Aldehyde Dehydrogenase, Mitochondrial"	MIT
ATPase Inhibitory Protein	MIT
"Creatine Kinase, Mitochondrial Form"	MIT
DNA Polymerase gamma	MIT
Endopeptidase Clp	MIT
Ferrochelatase	MIT
Frataxin	MIT
High-Temperature Requirement A Serine Peptidase 2	MIT
Mitochondrial Membrane Transport Proteins	MIT
"Mitochondrial ADP, ATP Translocases"	MIT
Adenine Nucleotide Translocator 1	MIT
Adenine Nucleotide Translocator 2	MIT
Adenine Nucleotide Translocator 3	MIT
Mitochondrial Permeability Transition Pore	MIT
Mitochondrial Precursor Protein Import Complex Proteins	MIT
Mitochondrial Proton-Translocating ATPases	MIT
Mitochondrial Uncoupling Proteins	MIT
Uncoupling Protein 1	MIT
Uncoupling Protein 2	MIT
Uncoupling Protein 3	MIT
"Solute Carrier Family 44, Member 2 Protein"	MIT
Steroidogenic Acute Regulatory Protein	MIT
Voltage-Dependent Anion Channel 1	MIT
Voltage-Dependent Anion Channel 2	MIT
Mitochondrial Processing Peptidase	MIT
Mitochondrial Trifunctional Protein	MIT
"Mitochondrial Trifunctional Protein, alpha Subunit"	MIT
"Mitochondrial Trifunctional Protein, beta Subunit"	MIT
Nucleoside Diphosphate Kinase D	MIT
Peroxiredoxin III	MIT
Prohibitins	MIT
Sirtuin 3	MIT
Cardiomyopathies	NEU
Arrhythmogenic Right Ventricular Dysplasia	NEU
"Cardiomyopathy, Alcoholic"	NEU
"Cardiomyopathy, Dilated"	NEU
"Cardiomyopathy, Hypertrophic"	NEU
Apical Hypertrophic Cardiomyopathy	NEU
"Cardiomyopathy, Hypertrophic, Familial"	NEU
"Cardiomyopathy, Restrictive"	NEU
Chagas Cardiomyopathy	NEU
Diabetic Cardiomyopathies	NEU
Endocardial Fibroelastosis	NEU
Isolated Noncompaction of the Ventricular Myocardium	NEU
Endomyocardial Fibrosis	NEU
Glycogen Storage Disease Type IIb	NEU
Kearns-Sayre Syndrome	NEU
Myocardial Reperfusion Injury	NEU
Myocarditis	NEU
Peripartum Cardiomyopathy	NEU
Sarcoglycanopathies	NEU
Takotsubo Cardiomyopathy	NEU
Cerebellar Ataxia	NEU
Spinocerebellar Ataxias	NEU
Ataxia Telangiectasia	NEU
Machado-Joseph Disease	NEU
Cockayne Syndrome	NEU
"Coproporphyria, Hereditary"	NEU
Demyelinating Diseases	NEU
"Demyelinating Autoimmune Diseases, CNS"	NEU
Diffuse Cerebral Sclerosis of Schilder	NEU
"Encephalomyelitis, Acute Disseminated"	NEU
"Leukoencephalitis, Acute Hemorrhagic"	NEU
"Encephalomyelitis, Autoimmune, Experimental"	NEU
Multiple Sclerosis	NEU
"Multiple Sclerosis, Chronic Progressive"	NEU
"Multiple Sclerosis, Relapsing-Remitting"	NEU
"Myelitis, Transverse"	NEU
Neuromyelitis Optica	NEU
Neuromyelitis Optica	NEU
Hereditary Central Nervous System Demyelinating Diseases	NEU
Adrenoleukodystrophy	NEU
Alexander Disease	NEU
Canavan Disease	NEU
"Leukodystrophy, Globoid Cell"	NEU
"Leukodystrophy, Metachromatic"	NEU
Pelizaeus-Merzbacher Disease	NEU
"Leukoencephalopathy, Progressive Multifocal"	NEU
Marchiafava-Bignami Disease	NEU
"Myelinolysis, Central Pontine"	NEU
Ophthalmoplegic Migraine	NEU
Polyradiculoneuropathy	NEU
Guillain-Barre Syndrome	NEU
Miller Fisher Syndrome	NEU
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating"	NEU
Subacute Combined Degeneration	NEU
Motor Neuron Disease	NEU
Amyotrophic Lateral Sclerosis	NEU
"Bulbar Palsy, Progressive"	NEU
"Muscular Atrophy, Spinal"	NEU
"Bulbo-Spinal Atrophy, X-Linked"	NEU
Spinal Muscular Atrophies of Childhood	NEU
"Myopathies, Structural, Congenital"	NEU
"Myopathies, Nemaline"	NEU
"Myopathy, Central Core"	NEU
Neuroacanthocytosis	NEU
Neuroaxonal Dystrophies	NEU
Pantothenate Kinase-Associated Neurodegeneration	NEU
Pain  	NEU
Abdominal Pain  	NEU
"Abdomen, Acute  "	NEU
Acute Pain  	NEU
Arthralgia  	NEU
Shoulder Pain  	NEU
Back Pain  	NEU
Failed Back Surgery Syndrome  	NEU
Low Back Pain  	NEU
Breakthrough Pain  	NEU
Cancer Pain  	NEU
Chest Pain  	NEU
Angina Pectoris  	NEU
"Angina, Unstable  "	NEU
"Angina Pectoris, Variant  "	NEU
"Angina, Stable  "	NEU
Chronic Pain  	NEU
Earache  	NEU
Eye Pain  	NEU
Facial Pain  	NEU
Toothache  	NEU
Flank Pain  	NEU
Glossalgia  	NEU
Headache  	NEU
Slit Ventricle Syndrome  	NEU
Labor Pain  	NEU
Mastodynia  	NEU
Metatarsalgia  	NEU
Morton Neuroma  	NEU
Musculoskeletal Pain  	NEU
Myalgia  	NEU
Pelvic Girdle Pain  	NEU
Neck Pain  	NEU
Neuralgia  	NEU
Morton Neuroma  	NEU
"Neuralgia, Postherpetic  "	NEU
Piriformis Muscle Syndrome  	NEU
Pudendal Neuralgia  	NEU
Sciatica  	NEU
Nociceptive Pain  	NEU
Visceral Pain  	NEU
Nociplastic Pain  	NEU
"Pain, Intractable  "	NEU
"Pain, Postoperative  "	NEU
Phantom Limb  	NEU
"Pain, Procedural  "	NEU
"Pain, Referred  "	NEU
Pelvic Pain  	NEU
Dysmenorrhea  	NEU
Pelvic Girdle Pain  	NEU
Piriformis Muscle Syndrome  	NEU
Renal Colic  	NEU
Parkinsonian Disorders	NEU
Lewy Body Disease	NEU
Parkinson Disease	NEU
"Parkinson Disease, Secondary"	NEU
MPTP Poisoning	NEU
"Parkinson Disease, Postencephalitic"	NEU
Peripheral Nervous System Diseases	NEU
Acrodynia	NEU
Amyloid Neuropathies	NEU
"Amyloid Neuropathies, Familial"	NEU
Brachial Plexus Neuropathies	NEU
Brachial Plexus Neuritis	NEU
Neonatal Brachial Plexus Palsy	NEU
Complex Regional Pain Syndromes	NEU
Causalgia	NEU
Reflex Sympathetic Dystrophy	NEU
Diabetic Neuropathies	NEU
Giant Axonal Neuropathy	NEU
Hand-Arm Vibration Syndrome	NEU
Isaacs Syndrome	NEU
Mononeuropathies	NEU
Femoral Neuropathy	NEU
Median Neuropathy	NEU
Carpal Tunnel Syndrome	NEU
Peroneal Neuropathies	NEU
Radial Neuropathy	NEU
Sciatic Neuropathy	NEU
Piriformis Muscle Syndrome	NEU
Sciatica	NEU
Tibial Neuropathy	NEU
Tarsal Tunnel Syndrome	NEU
Ulnar Neuropathies	NEU
Cubital Tunnel Syndrome	NEU
Ulnar Nerve Compression Syndromes	NEU
Nerve Compression Syndromes	NEU
Carpal Tunnel Syndrome	NEU
Cauda Equina Syndrome	NEU
Piriformis Muscle Syndrome	NEU
Pudendal Neuralgia	NEU
Tarsal Tunnel Syndrome	NEU
Thoracic Outlet Syndrome	NEU
Cervical Rib Syndrome	NEU
Ulnar Nerve Compression Syndromes	NEU
Cubital Tunnel Syndrome	NEU
Neuralgia	NEU
Causalgia	NEU
Morton Neuroma	NEU
"Neuralgia, Postherpetic"	NEU
Piriformis Muscle Syndrome	NEU
Pudendal Neuralgia	NEU
Sciatica	NEU
Neuritis	NEU
Brachial Plexus Neuritis	NEU
"Neuritis, Autoimmune, Experimental"	NEU
Neurofibromatosis 1	NEU
"Pain Insensitivity, Congenital"	NEU
Peripheral Nerve Injuries	NEU
Peripheral Nervous System Neoplasms	NEU
Nerve Sheath Neoplasms	NEU
Neurofibroma	NEU
"Neurofibroma, Plexiform"	NEU
Neurofibrosarcoma	NEU
Polyneuropathies	NEU
Alcoholic Neuropathy	NEU
Hereditary Sensory and Autonomic Neuropathies	NEU
"Dysautonomia, Familial"	NEU
Hereditary Sensory and Motor Neuropathy	NEU
Alstrom Syndrome	NEU
Charcot-Marie-Tooth Disease	NEU
Giant Axonal Neuropathy	NEU
Refsum Disease	NEU
"Spastic Paraplegia, Hereditary"	NEU
Paraneoplastic Polyneuropathy	NEU
POEMS Syndrome	NEU
Polyradiculoneuropathy	NEU
Cauda Equina Syndrome	NEU
Guillain-Barre Syndrome	NEU
Miller Fisher Syndrome	NEU
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating"	NEU
Polyradiculopathy	NEU
Tangier Disease	NEU
Spinocerebellar Degenerations	NEU
Friedreich Ataxia	NEU
Myoclonic Cerebellar Dyssynergia	NEU
Olivopontocerebellar Atrophies	NEU
Spinocerebellar Ataxias	NEU
Machado-Joseph Disease	NEU
Tay-Sachs Disease	NEU
Tyrosinemias	NEU
Achalasia Addisonianism Alacrimia syndrome	NEU
Harderoporphyria	NEU
Pontocerebellar Hypoplasia	NEU
"Schindler Disease, Type I"	NEU
"Rickets, Hypophosphatemic"	RKT
Familial Hypophosphatemic Rickets	RKT
"Kidney Diseases, Cystic"	TKD
Medullary Sponge Kidney	TKD
Multicystic Dysplastic Kidney	TKD
Polycystic Kidney Diseases	TKD
"Polycystic Kidney, Autosomal Dominant"	TKD
"Polycystic Kidney, Autosomal Recessive"	TKD
"Nephritis, Interstitial"	TKD
Balkan Nephropathy	TKD
Pyelonephritis	TKD
Emphysematous Pyelonephritis	TKD
"Pyelonephritis, Xanthogranulomatous"	TKD
Renal Insufficiency	TKD
Acute Kidney Injury	TKD
