MeSH	disease
DiGeorge Syndrome	FET
Alagille Syndrome	FET
Aortic Coarctation	FET
Aortico-Ventricular Tunnel	FET
Arrhythmogenic Right Ventricular Dysplasia	FET
Barth Syndrome	FET
Bicuspid Aortic Valve Disease	FET
Cor Triatriatum	FET
Coronary Vessel Anomalies	FET
Anomalous Left Coronary Artery	FET
Bland White Garland Syndrome	FET
Myocardial Bridging	FET
Crisscross Heart	FET
Dextrocardia	FET
Kartagener Syndrome	FET
"Ductus Arteriosus, Patent"	FET
Ebstein Anomaly	FET
Ectopia Cordis	FET
Eisenmenger Complex	FET
Heart Septal Defects	FET
Aortopulmonary Septal Defect	FET
"Truncus Arteriosus, Persistent"	FET
Endocardial Cushion Defects	FET
"Heart Septal Defects, Atrial"	FET
"Foramen Ovale, Patent"	FET
Lutembacher Syndrome	FET
"Heart Septal Defects, Ventricular"	FET
Double Outlet Right Ventricle	FET
Heterotaxy Syndrome	FET
Hypoplastic Left Heart Syndrome	FET
Isolated Noncompaction of the Ventricular Myocardium	FET
LEOPARD Syndrome	FET
Levocardia	FET
Long QT Syndrome	FET
Andersen Syndrome	FET
Jervell-Lange Nielsen Syndrome	FET
Romano-Ward Syndrome	FET
Marfan Syndrome	FET
Noonan Syndrome	FET
Quadricuspid Aortic Valve	FET
Tetralogy of Fallot	FET
Transposition of Great Vessels	FET
Congenitally Corrected Transposition of the Great Arteries	FET
Double Outlet Right Ventricle	FET
Tricuspid Atresia	FET
Trilogy of Fallot	FET
Trisomy 13 Syndrome	FET
Trisomy 18 Syndrome	FET
Turner Syndrome	FET
Univentricular Heart	FET
Wolff-Parkinson-White Syndrome	FET
Vascular Malformations	FET
Congenital Portosystemic Shunt	FET
Arterio-Arterial Fistula	FET
Bland White Garland Syndrome	FET
Arteriovenous Malformations	FET
Arteriovenous Fistula	FET
Intracranial Arteriovenous Malformations	FET
Vein of Galen Malformations	FET
Central Nervous System Vascular Malformations	FET
Intracranial Arteriovenous Malformations	FET
Vein of Galen Malformations	FET
May-Thurner Syndrome	FET
Median Arcuate Ligament Syndrome	FET
Persistent Left Superior Vena Cava	FET
Pulmonary Atresia	FET
Scimitar Syndrome	FET
Single Umbilical Artery	FET
"Telangiectasia, Hereditary Hemorrhagic"	FET
Vascular Ring	FET
Chromosome Disorders	FET
22q11 Deletion Syndrome	FET
DiGeorge Syndrome	FET
Angelman Syndrome	FET
Beckwith-Wiedemann Syndrome	FET
Branchio-Oto-Renal Syndrome	FET
Cri-du-Chat Syndrome	FET
De Lange Syndrome	FET
Down Syndrome	FET
Holoprosencephaly	FET
Jacobsen Distal 11q Deletion Syndrome	FET
Prader-Willi Syndrome	FET
Rubinstein-Taybi Syndrome	FET
Sex Chromosome Disorders	FET
Fragile X Syndrome	FET
Orofaciodigital Syndromes	FET
Sex Chromosome Disorders of Sex Development	FET
"Gonadal Dysgenesis, Mixed"	FET
Klinefelter Syndrome	FET
Turner Syndrome	FET
Silver-Russell Syndrome	FET
Smith-Magenis Syndrome	FET
Sotos Syndrome	FET
Trisomy 13 Syndrome	FET
Trisomy 18 Syndrome	FET
WAGR Syndrome	FET
Williams Syndrome	FET
Wolf-Hirschhorn Syndrome	FET
Congenital Microtia	FET
Digestive System Abnormalities	FET
Anorectal Malformations	FET
"Anus, Imperforate"	FET
Cloacal Exstrophy	FET
Biliary Atresia	FET
Choledochal Cyst	FET
Caroli Disease	FET
Diaphragmatic Eventration	FET
Esophageal Atresia	FET
Hirschsprung Disease	FET
Intestinal Atresia	FET
Meckel Diverticulum	FET
Pancreas Divisum	FET
Pancreaticobiliary Maljunction	FET
Eye Abnormalities	FET
Aniridia	FET
WAGR Syndrome	FET
Anophthalmos	FET
Blepharophimosis	FET
Coloboma	FET
Ectopia Lentis	FET
Familial Exudative Vitreoretinopathies	FET
Fraser Syndrome	FET
Hydrophthalmos	FET
Microphthalmos	FET
Persistent Hyperplastic Primary Vitreous	FET
Retinal Dysplasia	FET
"Hernias, Diaphragmatic, Congenital"	FET
Lymphatic Abnormalities	FET
22q11 Deletion Syndrome	FET
DiGeorge Syndrome	FET
"Lymphangiectasis, Intestinal"	FET
Musculoskeletal Abnormalities	FET
Arthrogryposis	FET
Campomelic Dysplasia	FET
Cervical Rib Syndrome	FET
Craniofacial Abnormalities	FET
22q11 Deletion Syndrome	FET
DiGeorge Syndrome	FET
Cleidocranial Dysplasia	FET
Craniofacial Dysostosis	FET
Hallermann's Syndrome	FET
Hypertelorism	FET
Mandibulofacial Dysostosis	FET
Goldenhar Syndrome	FET
Craniosynostoses	FET
Acrocephalosyndactylia	FET
Holoprosencephaly	FET
LEOPARD Syndrome	FET
Megalencephaly	FET
Hemimegalencephaly	FET
Maxillofacial Abnormalities	FET
Cherubism	FET
Dentofacial Deformities	FET
Jaw Abnormalities	FET
Cleft Palate	FET
Micrognathism	FET
Pierre Robin Syndrome	FET
Prognathism	FET
Retrognathia	FET
Microcephaly	FET
Porencephaly	FET
Noonan Syndrome	FET
Orofaciodigital Syndromes	FET
Plagiocephaly	FET
"Plagiocephaly, Nonsynostotic"	FET
Platybasia	FET
Rubinstein-Taybi Syndrome	FET
Developmental Dysplasia of the Hip	FET
"Hip Dislocation, Congenital"	FET
Funnel Chest	FET
Gastroschisis	FET
Hajdu-Cheney Syndrome	FET
"Hip Dislocation, Congenital"	FET
Klippel-Feil Syndrome	FET
Laryngomalacia	FET
"Limb Deformities, Congenital"	FET
Arachnodactyly	FET
Brachydactyly	FET
Ectromelia	FET
"Lower Extremity Deformities, Congenital"	FET
"Foot Deformities, Congenital"	FET
Talipes	FET
Clubfoot	FET
Equinus Deformity	FET
Flatfoot	FET
Talipes Cavus	FET
Tarsal Coalition	FET
Polydactyly	FET
Pallister-Hall Syndrome	FET
Short Rib-Polydactyly Syndrome	FET
Proteus Syndrome	FET
Syndactyly	FET
Acrocephalosyndactylia	FET
Fraser Syndrome	FET
Poland Syndrome	FET
Thanatophoric Dysplasia	FET
"Upper Extremity Deformities, Congenital"	FET
"Hand Deformities, Congenital"	FET
Pectus Carinatum	FET
Synostosis	FET
Antley-Bixler Syndrome Phenotype	FET
Craniosynostoses	FET
Acrocephalosyndactylia	FET
Syndactyly	FET
Acrocephalosyndactylia	FET
Fraser Syndrome	FET
Poland Syndrome	FET
Tarsal Coalition	FET
Tracheobronchomalacia	FET
Bronchomalacia	FET
Tracheomalacia	FET
Nervous System Malformations	FET
Agenesis of Corpus Callosum	FET
Acrocallosal Syndrome	FET
Aicardi Syndrome	FET
Holoprosencephaly	FET
Septo-Optic Dysplasia	FET
Central Nervous System Cysts	FET
Arachnoid Cysts	FET
Colloid Cysts	FET
Central Nervous System Vascular Malformations	FET
Central Nervous System Venous Angioma	FET
"Hemangioma, Cavernous, Central Nervous System"	FET
Intracranial Arteriovenous Malformations	FET
Vein of Galen Malformations	FET
Sinus Pericranii	FET
Congenital Cranial Dysinnervation Disorders	FET
Dandy-Walker Syndrome	FET
Hereditary Sensory and Motor Neuropathy	FET
Alstrom Syndrome	FET
Charcot-Marie-Tooth Disease	FET
Giant Axonal Neuropathy	FET
Refsum Disease	FET
"Spastic Paraplegia, Hereditary"	FET
Hereditary Sensory and Autonomic Neuropathies	FET
"Dysautonomia, Familial"	FET
Hydranencephaly	FET
Malformations of Cortical Development	FET
"Malformations of Cortical Development, Group I"	FET
Focal Cortical Dysplasia	FET
Hippocampal Sclerosis	FET
Megalencephaly	FET
Hemimegalencephaly	FET
Microcephaly	FET
Tuberous Sclerosis	FET
"Malformations of Cortical Development, Group II"	FET
Classical Lissencephalies and Subcortical Band Heterotopias	FET
Cobblestone Lissencephaly	FET
Lissencephaly	FET
